PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,class,class_name
0.14773293,1.4561174,-0.27500513,-3.1858227,-0.64160055,5.0761228,2.5806293,4.3316054,2.6864421,-5.6544127,2.2882135,-0.35785002,-0.2871344,0.23671792,0.694781,0.07397459,1.366772,1.112632,-0.66223186,-0.13986872,-0.12179612,-0.27167574,0.49958944,-0.16356827,0.4998239,-0.26575717,0.6839283,-0.2627682,0.04312337,0.053378433,0.6067657,0.14097846,0.34263894,0.4513035,-0.23615104,-0.43252695,-0.23680082,0.23283717,-0.95605713,0.07420863,-0.46399796,0.22546272,-0.16159606,-0.0026784292,-0.05108288,0.45420545,-0.2357353,0.21268915,0.22671863,-0.3112611,3,Cat
-9.047083,-5.3355503,4.5191035,7.870528,-0.5234342,-1.5819815,-0.300679,-1.3804934,2.671589,1.802303,0.35529903,-0.16282806,1.095314,-0.73937196,0.27664414,0.21482359,-0.79380345,0.06977396,0.7308052,0.8397814,0.6549904,-0.04157084,0.8732433,0.74953467,0.37041125,0.0929461,-0.21640462,-0.050822467,-0.018154701,0.031737223,-0.24834004,0.37768093,0.47749045,-0.15829752,-0.57660997,0.6126132,0.015086006,0.65915185,-0.07602493,0.1482567,-0.21184158,0.2647424,-0.24259193,-0.16454202,-0.1491528,0.09107612,-0.19568989,-0.11690396,0.3627357,-0.009975188,8,Ship
-14.5442095,-2.9536314,8.841776,2.3158538,-1.7873793,-1.324069,-1.9315811,-0.62052345,-0.6595514,1.2820752,0.39786685,0.61885333,0.5258248,0.73050874,0.29256654,-0.35393733,1.9100895,-0.6819269,-0.4031783,0.10084324,-0.17759342,0.23814881,0.28991655,-0.28072804,-0.33965632,0.29243818,0.21481094,-0.05950724,-0.50512576,-0.35994527,0.13835429,-0.013809404,0.032459047,-0.14752568,-0.079301946,0.19894204,0.45036608,0.14212227,0.15542272,0.55118185,0.42815262,-0.17711191,-0.00582602,0.10736513,0.3663091,0.17733665,0.16925088,-0.21300821,-0.17014648,-0.49622932,8,Ship
-11.8256,6.861731,0.1164058,0.16369572,3.736451,-2.4065323,-0.43760806,-0.324456,-3.0349243,0.17829241,-0.81786686,1.079755,-0.8683287,1.2154077,-1.4958543,-0.081766084,3.7140186,0.9347488,0.88470936,0.2314796,0.23635925,-0.5226381,-0.500844,-0.9804305,-0.04778023,-0.42744783,1.2787608,0.6893517,0.4534031,0.6208354,0.345385,-0.28114322,0.09027368,0.4478719,-0.82327473,-0.0036237321,-0.026749618,-0.16186467,0.49903053,-0.70492065,0.22802214,0.0038873476,0.8666539,0.2641873,0.15736759,-0.022407902,-0.3548481,-0.34773603,0.37247065,0.094203904,0,Airplane
4.5776863,-10.343819,-1.1723001,-7.596866,-1.2642349,1.2370001,2.8593116,0.32918587,0.6173693,-0.50849146,-1.1700964,-0.46374002,1.8113517,-1.8942379,0.18567461,0.21783882,0.43490213,-0.38687402,0.11913595,-0.24546619,1.5614345,-0.16929911,-0.2648391,0.23046693,0.48180464,1.1720173,0.09623997,-0.50355446,-0.008798907,0.17136583,-0.56130594,0.48569122,-0.7097637,-0.45633787,-0.19872658,0.31885713,-0.29851624,0.022213943,-0.41281465,0.3535285,-0.022352196,-0.763556,-0.0982177,-0.29981792,-0.5014325,-0.17363748,-0.36865476,-0.28561243,-0.27803034,-0.089444615,6,Frog
17.808538,15.105221,-0.5036905,-2.8402524,-0.3366396,1.9584072,-3.2977006,-0.36257473,-0.3175711,-0.022108363,-0.10345576,0.49162358,0.3024322,-0.7488617,0.42038393,-0.21272261,0.70084864,0.24674873,0.5579934,0.112342425,0.012905071,0.069751434,0.6418274,0.054588724,-0.60166323,-0.91281724,-0.41377348,-0.43672377,-0.17632237,0.040872194,-0.18148017,-0.30229902,-0.15992467,-0.074663244,-0.27381173,0.13143554,-0.012906343,0.13124433,-0.19772582,0.559119,-0.087417126,-0.037765067,0.05375666,0.03266414,0.09887891,-0.18051647,-0.00512957,0.24263526,-0.09966864,0.08411829,6,Frog
5.8264213,11.604039,-0.42562848,-0.50033873,-3.0321245,-1.7149342,-0.6232695,0.7557239,2.4237,-3.7240036,1.7713788,-1.8057021,0.31272972,-1.2992752,-1.3244941,1.3786455,-0.36396548,-0.80834997,0.40502334,0.0674654,1.1424619,-1.0723687,0.29025236,-0.6189926,0.26933733,-0.17345676,0.8827691,-0.10153828,0.034751438,0.03230486,0.34315416,0.26363593,0.048687395,-0.16124703,-0.14128515,-0.020522883,-0.7025347,-0.6071296,0.16381314,0.16558082,0.73421836,0.044063304,-0.1474785,0.2238905,-0.25411916,0.19544908,-0.38905257,-0.12814584,0.22225584,-0.1749074,1,Automobile
12.04404,-7.0798845,4.239854,-8.1468,-0.074589245,-2.319232,0.015274649,0.7872601,-0.29740262,1.775854,-1.0669138,0.37465426,-0.3243086,0.85046744,0.3513512,-0.2770621,0.9166694,-0.51463646,-0.33618775,0.079051964,-0.18640631,0.87062424,0.43127787,-0.3421103,-0.085607275,0.8698929,0.06727081,-0.40538642,-0.1838868,0.25641468,-0.016361358,-0.037013225,0.5700455,0.05477959,-0.034074426,0.18952414,0.14765938,0.18114592,-0.74991786,-0.3051279,0.030535612,0.08315915,0.15716687,-0.2521922,-0.37563956,-0.06428855,-0.1820507,-0.01147572,-0.3981425,-0.02407556,6,Frog
12.725624,1.9451401,-0.3844225,-1.3362428,-1.6090769,-2.81909,-0.11686593,-1.1941382,-0.6240437,-2.1743166,-0.10750586,-0.43195733,0.10531296,-0.14791848,1.1947889,-1.6635492,0.25783184,0.09926748,-0.52579564,-0.58553827,0.7126501,-0.6948324,-0.28763995,0.3711009,-0.19791983,0.107533984,0.10867104,-0.05322344,0.41869867,0.069528334,0.11397325,0.041878574,-0.4052233,-0.09797802,-0.29956394,-0.6365384,0.19626188,0.47706628,-0.18891917,-0.08659163,-0.28198236,0.4613647,0.15426503,0.28389686,0.108186886,0.20805785,0.21576898,0.23435558,-0.20764902,0.2728498,3,Cat
-10.580112,6.1124434,-2.4470196,2.675739,5.4817576,-1.86037,1.3464342,-3.0606482,0.36573794,-0.54704726,1.3591554,0.53430825,-0.77167785,2.5503645,-0.1471793,1.247232,0.19831932,-0.05438445,0.3932076,-0.72367513,-0.8045269,0.29044697,0.86277723,0.66166645,-0.38223973,0.29203966,0.20500956,-0.13872157,-0.150314,-0.13318905,-0.16337962,0.09588768,0.32480687,0.585227,-0.18258959,-0.064375915,-0.09187586,0.16322295,-0.53928536,0.12170279,-0.5621885,-0.22442725,-0.029674642,-0.024978053,-0.3855781,0.65411615,0.2638404,-0.27596492,0.31035694,-0.0056885537,1,Automobile
