PC,explained_variance_ratio,cumulative_variance_ratio
1,0.53010756,0.53010756
2,0.24934542,0.779453
3,0.056595296,0.83604825
4,0.03534888,0.87139714
5,0.022703564,0.8941007
6,0.016103525,0.91020423
7,0.015497149,0.9257014
8,0.010831074,0.93653244
9,0.0063926503,0.9429251
10,0.005434636,0.9483597
11,0.0040544225,0.95241416
12,0.0033146085,0.95572877
13,0.0028968048,0.95862556
14,0.002673546,0.9612991
15,0.002529952,0.9638291
16,0.0021838811,0.96601295
17,0.0019840668,0.967997
18,0.0018325046,0.9698295
19,0.001805996,0.9716355
20,0.0016453847,0.9732809
21,0.0013894062,0.9746703
22,0.0011639914,0.9758343
23,0.0011173264,0.97695166
24,0.0009494408,0.9779011
25,0.00084434455,0.97874546
26,0.00078325823,0.9795287
27,0.00072033104,0.98024905
28,0.00066884,0.9809179
29,0.0006363616,0.9815542
30,0.0006208647,0.98217505
31,0.0005701854,0.98274523
32,0.00054480444,0.98329
33,0.000515326,0.98380536
34,0.0004996369,0.984305
35,0.00047095228,0.98477596
36,0.00044739209,0.98522335
37,0.00041585232,0.9856392
38,0.00040308022,0.9860423
39,0.0003798987,0.98642224
40,0.0003567587,0.986779
41,0.00034922553,0.9871282
42,0.00033214886,0.9874604
43,0.00032351245,0.9877839
44,0.000308705,0.9880926
45,0.00029838522,0.988391
46,0.0002897837,0.9886808
47,0.00028503814,0.9889658
48,0.00027196825,0.9892378
49,0.000260734,0.9894985
50,0.0002493146,0.9897478
