PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,class,class_name
-5.9314876,5.5915456,0.5296747,0.40153834,0.75345725,-1.4857963,0.07650993,-1.8600118,-2.430664,0.2853525,1.5387772,-0.27939647,0.605595,0.6043567,1.5316767,0.53456604,0.98885334,2.2311003,0.96599776,-2.5305066,-1.9367799,-0.875687,0.77062094,-1.011317,-0.3316434,-0.8471649,0.4924972,-1.2438326,-0.831606,2.1391375,1.542221,-2.536476,0.6593447,0.6660028,-0.97474444,-2.443561,-1.9354984,-1.4100192,2.4420915,2.6688962,0.52124465,-1.1158673,-1.5905046,1.7025446,0.9633974,0.051644143,-1.024113,1.9312917,0.6220171,0.89614975,3,Cat
12.195228,-9.586496,-1.2920431,-1.0427912,2.236087,-2.2143562,-2.9919517,-1.87059,0.84317553,-1.5813353,1.773573,2.234989,0.9060104,3.1756,-1.9162514,0.6087709,1.43416,2.2805936,-0.20964743,0.68307656,0.4793221,0.7305758,2.5096378,2.589549,-2.0299652,-2.1637328,0.79634225,-1.3823146,2.2733102,-2.277055,-0.989136,0.72382075,-2.5351596,0.5474048,1.6366892,0.14732668,0.15033093,0.27947682,-0.46250716,-3.7931087,0.79287094,1.2362452,-1.0613165,0.29984787,-0.40747204,0.068957746,-0.5690293,1.0959262,-1.2343205,-0.7896292,8,Ship
6.5035787,-9.22101,1.6542921,-0.64696115,5.284092,0.3497827,-0.64686316,2.070259,2.6435845,-3.0183887,6.777628,-0.033997167,2.98689,0.5843173,-2.488093,-2.5735805,-3.2191749,2.842065,-0.46783155,-2.1864667,1.1090113,-2.9487207,3.4397557,-1.6902155,1.5622493,-1.7155162,-0.038636673,-1.0385181,-0.667346,0.41555715,-0.39820597,1.3500245,-1.5634254,-0.24457705,-0.19765006,3.9395833,-0.61091423,-0.63848007,-0.1611217,-1.5939102,-0.0602781,-1.086839,-0.14041394,1.8012922,-2.1446168,0.11516924,0.92989874,-1.4393288,1.6988086,-1.3497555,8,Ship
10.420082,-7.281882,2.844848,-3.1724353,1.408009,-5.147086,2.5230715,0.42871463,-2.4707818,0.17229936,1.8434709,6.5154347,1.7651601,3.465543,-0.8303103,3.1951694,2.2684622,2.265906,-0.3386908,-1.8859158,0.69235057,-3.6850102,2.018304,-0.2601356,0.6644624,-0.2157918,-0.54463154,-1.0780841,0.481649,3.5269976,1.4801314,0.8428399,-2.9757624,0.9924209,-0.7039074,-0.45368096,2.3141723,2.7270606,-1.7437705,-0.56941307,1.5582893,-0.82183266,2.6812887,-0.7097773,0.31581286,-1.7536198,-2.9875033,-0.4838515,-0.50964177,0.27512044,0,Airplane
-3.8758974,10.09013,-3.1920447,-0.98630416,5.217605,3.798857,-1.4243329,-0.43248242,-3.7250285,0.593051,-1.8970159,2.983707,2.2695735,-0.2232736,-1.6356108,-3.5449748,-0.29181862,0.36042753,4.700216,-2.939027,2.5316463,0.5544656,-1.4373372,-0.34362692,-3.1476998,2.1345384,2.486464,1.0097761,0.93234813,-1.3068173,-0.5792008,-1.108564,-0.18917081,0.115742,0.63519603,0.54878587,-1.0407529,0.20709303,1.863636,-2.6332726,-0.7922563,0.96726996,-1.3875026,-0.91707623,-2.9430826,-0.6299987,0.25348848,1.2301413,-1.0922446,0.71292543,6,Frog
-6.547998,6.1272593,-5.2037005,7.280094,1.011176,-1.2365078,-1.5640095,1.4929827,-1.4444556,-1.8798922,-0.5147846,-3.638795,-0.6459586,-0.91170275,-0.28997314,1.8829119,-3.826504,2.2406657,0.13734332,-0.12963572,-0.38640934,-0.5337324,0.2444014,1.5058719,-2.8596175,1.0868529,0.22826794,2.6824594,1.2890098,-0.57104826,2.2609384,-2.7247257,-0.19397995,-1.1135505,-1.745546,0.5982125,0.20325725,2.3168302,0.56433827,-0.55909103,1.0556313,-0.53669995,0.8736827,-1.006081,5.4660053,3.1945014,-2.199737,-0.7248289,0.2309377,-1.286098,6,Frog
2.9597642,4.7348742,6.6585135,4.783091,-3.4779546,-1.2030141,-5.5059714,-0.09329307,-0.6135488,-2.1774254,-2.8339148,-4.2708635,4.135191,-2.378061,-1.0489652,-2.9466724,0.7716893,1.0141908,2.4861424,-1.5707364,0.513048,-1.7387148,-0.33089095,-0.66290146,-0.9945288,-1.4999969,-1.7271152,-1.2781963,-1.4031299,1.4983962,1.3203486,-3.9319932,2.3566914,1.4389392,-2.8678699,-0.82099915,0.2529738,-0.8685613,-1.1851383,2.4325132,-0.7274856,-0.017869277,-0.35027945,-0.84345776,0.85550606,-0.46248183,-1.8479567,1.7928824,1.6474236,-1.4323487,1,Automobile
-8.181892,-2.3996058,1.2155521,4.8895464,0.2501017,4.573923,0.42439464,2.4108522,1.6537516,2.4622614,1.7174067,0.16983105,-2.9783392,0.9400175,-0.49286076,1.2425059,0.8288012,0.18105946,-0.7896777,-1.1788265,1.9742908,-1.0064881,1.4295799,-0.53197795,-1.686465,-1.0688962,-0.9497402,-2.4150434,0.50610876,-0.06460915,-2.4227295,1.0906676,-0.660057,1.7588098,0.53489584,-0.5958502,0.99638414,1.4706913,-0.25590292,0.41136637,0.22572272,-0.2159799,-1.7984793,0.33007216,-1.094169,0.31862864,-1.2143847,-0.9957965,0.044599704,1.5948879,6,Frog
-0.17510901,8.707729,-13.850836,-6.570821,0.25036016,-1.0670911,5.2800016,-3.6408215,-1.4279118,-1.5506105,-0.81468153,0.6467963,-1.6329645,0.9544106,-3.8120427,-1.5322073,3.5283573,2.1882813,2.1989636,-0.34499037,-1.0429542,-0.48251596,-1.4110329,-3.0222325,4.667931,-0.37999207,0.6990028,1.0748962,2.3988838,-0.013514876,-1.57896,-2.4875169,2.6542923,-0.63432765,0.39635614,1.5662023,-1.3906761,0.8114464,1.3360635,-2.7456653,1.3563291,1.4524665,0.32034656,-1.251633,-0.2879188,-0.8924409,-0.20186926,-0.92398465,1.7080956,-0.6998834,3,Cat
11.100746,2.3751354,1.6475892,-3.0829914,0.20351973,-1.9621416,3.5655396,3.8536263,-4.0869164,3.6085696,2.0631478,5.573829,0.55396277,7.605111,0.5942446,6.471695,0.2535404,0.2094373,-0.756184,4.2393894,-5.2188325,-3.533437,-1.9094341,1.1843207,-1.2398113,-5.6374216,-2.062663,-1.4082464,2.5543098,-2.413769,-2.957803,1.3996274,0.47405463,0.094166934,-1.9852786,-0.4183834,0.8885106,1.3171316,-0.46655053,-0.5103482,-0.4110432,-0.36550558,1.307639,-4.2342343,-0.31706157,-1.402129,-0.7380419,-0.66546476,0.24973974,0.21869348,1,Automobile
-10.875348,-0.66755384,-2.9052556,2.533886,0.14208631,-0.63021994,4.959906,-4.0767097,-1.069188,1.0372742,0.071091235,-2.7783277,-0.23377082,2.1204042,1.5675948,0.5259953,-0.17584302,-0.21072386,-2.0136228,0.52782583,1.4408109,0.5645527,-1.3496411,-0.038852982,-0.49519435,-0.9132099,1.5248154,-2.3329806,-1.4410765,-2.3392172,2.2645493,1.7710022,-0.03458435,1.288954,0.30605668,0.28741452,0.24973436,-1.7469008,-0.6271155,-0.15954292,1.5653034,-0.5360019,-2.2780473,-0.024377149,-1.0483692,-0.20492171,-0.9659508,-0.28733024,0.59874177,0.35511962,0,Airplane
