PC,explained_variance_ratio,cumulative_variance_ratio
1,0.14375944,0.14375944
2,0.08173748,0.22549692
3,0.040489946,0.26598686
4,0.03843173,0.3044186
5,0.031918723,0.33633733
6,0.025436334,0.36177367
7,0.022664685,0.38443837
8,0.020240443,0.40467882
9,0.018642299,0.42332113
10,0.015331429,0.43865255
11,0.014037225,0.45268977
12,0.013315434,0.4660052
13,0.013067011,0.4790722
14,0.012177712,0.49124992
15,0.011403571,0.5026535
16,0.01069776,0.51335126
17,0.009940655,0.52329195
18,0.009663042,0.532955
19,0.009333379,0.54228836
20,0.008248485,0.5505369
21,0.007934748,0.5584716
22,0.007430548,0.5659022
23,0.0071783722,0.57308054
24,0.0068943845,0.57997495
25,0.006809742,0.5867847
26,0.006356951,0.5931417
27,0.0061864317,0.5993281
28,0.0060584405,0.60538656
29,0.0055469526,0.6109335
30,0.0054641683,0.6163977
31,0.0052704103,0.6216681
32,0.005159532,0.62682766
33,0.0050175255,0.6318452
34,0.004868638,0.6367138
35,0.004782408,0.6414962
36,0.0046389536,0.64613515
37,0.0045022457,0.6506374
38,0.004380101,0.6550175
39,0.004354815,0.6593723
40,0.0041909227,0.66356325
41,0.0040844586,0.6676477
42,0.0039293985,0.6715771
43,0.003834929,0.675412
44,0.0037914815,0.6792035
45,0.003730232,0.68293375
46,0.0036203705,0.68655413
47,0.0035411129,0.69009525
48,0.0034978958,0.69359314
49,0.0034260452,0.6970192
50,0.0033777617,0.70039696
